name,link,photo
Kuva Drakgoon,https://warframe.fandom.com/wiki/Kuva_Drakgoon,https://static.wikia.nocookie.net/warframe/images/c/c9/KuvaDrakgoon.png
Kuva Hind,https://warframe.fandom.com/wiki/Kuva_Hind,https://static.wikia.nocookie.net/warframe/images/f/f1/KuvaHind.png
Kuva Karak,https://warframe.fandom.com/wiki/Kuva_Karak,https://static.wikia.nocookie.net/warframe/images/2/20/KuvaKarak.png
Kuva Kohm,https://warframe.fandom.com/wiki/Kuva_Kohm,https://static.wikia.nocookie.net/warframe/images/9/90/KuvaKohm.png
Kuva Ogris,https://warframe.fandom.com/wiki/Kuva_Ogris,https://static.wikia.nocookie.net/warframe/images/7/73/KuvaOgris.png
Kuva Quartakk,https://warframe.fandom.com/wiki/Kuva_Quartakk,https://static.wikia.nocookie.net/warframe/images/f/ff/KuvaQuartakk.png
Kuva Tonkor,https://warframe.fandom.com/wiki/Kuva_Tonkor,https://static.wikia.nocookie.net/warframe/images/8/89/KuvaTonkor.png
Kuva Brakk,https://warframe.fandom.com/wiki/Kuva_Brakk,https://static.wikia.nocookie.net/warframe/images/0/0b/KuvaBrakk.png
Kuva Kraken,https://warframe.fandom.com/wiki/Kuva_Kraken,https://static.wikia.nocookie.net/warframe/images/8/89/KuvaKraken.png
Kuva Nukor,https://warframe.fandom.com/wiki/Kuva_Nukor,https://static.wikia.nocookie.net/warframe/images/5/5f/KuvaNukor.png
Kuva Seer,https://warframe.fandom.com/wiki/Kuva_Seer,https://static.wikia.nocookie.net/warframe/images/b/bd/KuvaSeer.png
Kuva Twin Stubbas,https://warframe.fandom.com/wiki/Kuva_Twin_Stubbas,https://static.wikia.nocookie.net/warframe/images/4/46/KuvaTwinStubbas.png
Kuva Hek,https://warframe.fandom.com/wiki/Kuva_Hek,https://static.wikia.nocookie.net/warframe/images/9/9f/KuvaHek.png
Kuva Grattler,https://warframe.fandom.com/wiki/Kuva_Grattler,https://static.wikia.nocookie.net/warframe/images/9/9a/KuvaGrattler.png
Kuva Zarr,https://warframe.fandom.com/wiki/Kuva_Zarr,https://static.wikia.nocookie.net/warframe/images/f/fb/KuvaZarr.png
Kuva Bramma,https://warframe.fandom.com/wiki/Kuva_Bramma,https://static.wikia.nocookie.net/warframe/images/b/ba/KuvaBramma.png
Kuva Chakkhurr,https://warframe.fandom.com/wiki/Kuva_Chakkhurr,https://static.wikia.nocookie.net/warframe/images/4/43/KuvaChakkhurr.png
Kuva Shildeg,https://warframe.fandom.com/wiki/Kuva_Shildeg,https://static.wikia.nocookie.net/warframe/images/b/ba/KuvaShildeg.png
Kuva Ayanga,https://warframe.fandom.com/wiki/Kuva_Ayanga,https://static.wikia.nocookie.net/warframe/images/3/3b/KuvaAyanga.png
